title,description,event_date,category,event_type,impact_level,location_name,latitude,longitude,country_code,affected_population,source_url,source_name
"Stock Market Crash of 1929","Black Tuesday - Wall Street crash that triggered the Great Depression","1929-10-29T00:00:00Z","financial","market_crash","extreme","New York City",40.7128,-74.0060,"US",100000000,"https://example.com/black-tuesday","historical_records"
"Pearl Harbor Attack","Japanese surprise military strike against the United States naval base","1941-12-07T07:48:00Z","war","bombing","extreme","Pearl Harbor",21.3487,-157.9650,"US",2400,"https://example.com/pearl-harbor","historical_records"
"Assassination of JFK","President John F. Kennedy assassinated in Dallas","1963-11-22T12:30:00Z","political","assassination","extreme","Dallas",32.7767,-96.7970,"US",1,"https://example.com/jfk-assassination","historical_records"
"Chernobyl Nuclear Disaster","Nuclear reactor explosion and radioactive disaster","1986-04-26T01:23:00Z","accident","nuclear_accident","extreme","Chernobyl",51.3890,30.0983,"UA",600000,"https://example.com/chernobyl","historical_records"
"Berlin Wall Falls","Fall of Berlin Wall marking end of Cold War era","1989-11-09T18:53:00Z","political","revolution","high","Berlin",52.5200,13.4050,"DE",2800000,"https://example.com/berlin-wall","historical_records"
"9/11 World Trade Center Attack","Terrorist attacks on World Trade Center and Pentagon","2001-09-11T08:46:00Z","terrorism","terrorist_attack","extreme","New York City",40.7128,-74.0060,"US",2977,"https://example.com/911-attacks","historical_records"
"2004 Indian Ocean Tsunami","Devastating tsunami affecting multiple countries around Indian Ocean","2004-12-26T00:58:53Z","natural_disaster","tsunami","extreme","Indian Ocean",3.3190,95.8540,"ID",230000,"https://example.com/indian-ocean-tsunami","historical_records"
"2008 Financial Crisis Peak","Lehman Brothers collapse triggering global financial crisis","2008-09-15T00:00:00Z","financial","market_crash","extreme","New York City",40.7128,-74.0060,"US",50000000,"https://example.com/2008-crisis","historical_records"
"Arab Spring Begins","Start of Arab Spring democratic uprisings","2010-12-17T00:00:00Z","political","revolution","high","Tunis",36.8065,10.1815,"TN",350000000,"https://example.com/arab-spring","historical_records"
"Fukushima Nuclear Disaster","Nuclear disaster following earthquake and tsunami","2011-03-11T14:46:00Z","accident","nuclear_accident","extreme","Fukushima",37.4138,141.0327,"JP",500000,"https://example.com/fukushima","historical_records"
"COVID-19 Pandemic Declaration","WHO declares COVID-19 a global pandemic","2020-03-11T00:00:00Z","pandemic","disease_outbreak","extreme","Geneva",46.2044,6.1432,"CH",7800000000,"https://example.com/covid-pandemic","historical_records"
"Russia Invades Ukraine","Full-scale Russian military invasion of Ukraine begins","2022-02-24T04:00:00Z","war","invasion","extreme","Kiev",50.4501,30.5234,"UA",44000000,"https://example.com/ukraine-invasion","historical_records"
"Hurricane Katrina","Category 5 hurricane devastating Gulf Coast","2005-08-29T06:10:00Z","natural_disaster","hurricane","extreme","New Orleans",29.9511,-90.0715,"US",1833,"https://example.com/hurricane-katrina","historical_records"
"London 7/7 Bombings","Coordinated terrorist bombings on London transport system","2005-07-07T08:50:00Z","terrorism","bombing","high","London",51.5074,-0.1278,"GB",52,"https://example.com/london-bombings","historical_records"
"Haiti Earthquake","Devastating magnitude 7.0 earthquake","2010-01-12T21:53:10Z","natural_disaster","earthquake","extreme","Port-au-Prince",18.5944,-72.3074,"HT",316000,"https://example.com/haiti-earthquake","historical_records"
"Brexit Referendum","UK votes to leave the European Union","2016-06-23T00:00:00Z","political","referendum","high","London",51.5074,-0.1278,"GB",65000000,"https://example.com/brexit-referendum","historical_records"
"Trump Election Victory","Donald Trump wins US Presidential Election","2016-11-08T00:00:00Z","political","election","high","Washington DC",38.9072,-77.0369,"US",325000000,"https://example.com/trump-election","historical_records"
"Charlie Hebdo Attack","Terrorist attack on French satirical newspaper","2015-01-07T11:30:00Z","terrorism","terrorist_attack","medium","Paris",48.8566,2.3522,"FR",12,"https://example.com/charlie-hebdo","historical_records"
"Death of Queen Elizabeth II","Longest-reigning British monarch dies","2022-09-08T15:10:00Z","political","death","high","Balmoral",57.0391,-3.2319,"GB",67000000,"https://example.com/queen-death","historical_records"
"SpaceX First Commercial Crew Launch","First commercial crew mission to International Space Station","2020-05-30T15:22:00Z","technology","space_mission","medium","Cape Canaveral",28.5721,-80.6480,"US",2,"https://example.com/spacex-crew","historical_records"
