title,description,event_date,category,event_type,impact_level,location_name,latitude,longitude,country_code,affected_population,source_url,source_name
2004 Indian Ocean earthquake and tsunami,A massive 9.1-magnitude earthquake triggered devastating tsunami waves across Southeast Asia,2004-12-26T00:58:53Z,natural_disaster,tsunami,extreme,"Banda Aceh, Indonesia",5.5577,95.3222,ID,227898,https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami,Wikipedia
2010 Haiti earthquake,"7.0 magnitude quake destroyed Port-au-Prince, Haiti, killing over 200,000",2010-01-12T21:53:10Z,natural_disaster,earthquake,extreme,"Port-au-Prince, Haiti",18.5392,-72.3389,HT,200000,https://en.wikipedia.org/wiki/2010_Haiti_earthquake,Wikipedia
2011 Tōhoku earthquake and tsunami,9.0 earthquake off Japan's coast triggered tsunami and Fukushima nuclear disaster,2011-03-11T05:46:23Z,natural_disaster,earthquake,extreme,"Sendai, Japan",38.297,142.372,JP,19749,https://en.wikipedia.org/wiki/2011_T%C5%8Dhoku_earthquake_and_tsunami,Wikipedia
2001 Gujarat earthquake,"Magnitude 7.7 quake struck Gujarat, India, killing approx. 20,000",2001-01-26T03:16:00Z,natural_disaster,earthquake,high,"Bhuj, Gujarat, India",23.242,69.6669,IN,20085,https://en.wikipedia.org/wiki/2001_Gujarat_earthquake,Wikipedia
Cyclone Nargis 2008,"Tropical cyclone killed over 138,000 in Myanmar",2008-05-02T12:00:00Z,natural_disaster,hurricane,extreme,"Yangon, Myanmar",16.8661,96.1951,MM,138373,https://en.wikipedia.org/wiki/Cyclone_Nargis,Wikipedia
9/11 World Trade Center Attack,"Terrorist attacks on World Trade Center and Pentagon killed nearly 3,000 people",2001-09-11T08:46:00Z,terrorism,terrorist_attack,extreme,"New York City, USA",40.7128,-74.006,US,2977,https://en.wikipedia.org/wiki/September_11_attacks,Wikipedia
2008 Financial Crisis,Lehman Brothers collapse triggered global financial crisis and Great Recession,2008-09-15T00:00:00Z,financial,market_crash,extreme,"New York City, USA",40.7128,-74.006,US,50000000,https://en.wikipedia.org/wiki/2007%E2%80%932008_financial_crisis,Wikipedia
COVID-19 Pandemic Declaration,WHO declares COVID-19 a global pandemic affecting billions worldwide,2020-03-11T00:00:00Z,pandemic,disease_outbreak,extreme,"Geneva, Switzerland",46.2044,6.1432,CH,7800000000,https://en.wikipedia.org/wiki/COVID-19_pandemic,Wikipedia
Chernobyl Nuclear Disaster,Nuclear reactor explosion caused worst nuclear disaster in history,1986-04-26T01:23:00Z,accident,bombing,extreme,"Chernobyl, Ukraine",51.389,30.0983,UA,600000,https://en.wikipedia.org/wiki/Chernobyl_disaster,Wikipedia
Fukushima Nuclear Disaster,Nuclear meltdown following 2011 earthquake and tsunami,2011-03-11T15:36:00Z,accident,bombing,extreme,"Fukushima, Japan",37.4138,141.0327,JP,500000,https://en.wikipedia.org/wiki/Fukushima_nuclear_disaster,Wikipedia
Stock Market Crash of 1929,Black Tuesday - Wall Street crash that triggered the Great Depression,1929-10-29T00:00:00Z,financial,market_crash,extreme,"New York City, USA",40.7128,-74.006,US,100000000,https://en.wikipedia.org/wiki/Wall_Street_Crash_of_1929,Wikipedia
Pearl Harbor Attack,Japanese surprise military strike against US naval base at Pearl Harbor,1941-12-07T07:48:00Z,war,bombing,extreme,"Pearl Harbor, Hawaii",21.3487,-157.965,US,2400,https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor,Wikipedia
